Actual (mm),Predicted (mm)
307.2,269.9941
394.6,401.65985
416.89999999999986,439.42758
422.8999999999999,414.37152
415.7999999999999,424.49625
406.9,399.99646
395.4,403.717
393.2,393.97455
366.9,400.18216
348.4,350.08295
334.4,344.0326
308.40000000000003,318.14233
304.0,278.5092
267.79999999999995,287.54672
216.89999999999998,206.93372
147.79999999999998,156.00056
57.0,67.790665
-30.5,-29.399893
-85.2,-92.732895
-110.3,-116.1205
-96.8,-111.58214
-41.7,-62.447292
47.2999999999999,40.43274
91.2,147.39284
139.3,138.77567
253.29999999999993,201.40472
382.6,343.158
449.0999999999999,448.96878
450.1000000000001,455.0977
433.30000000000007,436.06833
419.59999999999997,409.6623
407.2999999999999,408.5393
404.0,402.98383
398.8,406.92627
404.6999999999999,393.99234
412.30000000000007,404.44568
415.7,400.25388
426.9999999999999,395.35675
405.7,405.87924
350.9,346.9555
289.4,273.8008
202.90000000000003,209.73073
122.89999999999998,100.83232
65.19999999999999,46.746407
34.699999999999896,13.290106
23.000000000000004,26.71292
52.300000000000004,29.726398
120.59999999999998,105.55395
192.70000000000002,208.36574
273.5999999999999,277.0603
359.70000000000005,353.00568
427.2999999999999,414.78482
445.7,465.73737
442.79999999999984,449.97638
423.9,437.04282
406.9,411.92624
389.90000000000003,405.5397
389.7,387.9199
391.7,401.93216
403.4,394.7311
426.50000000000006,409.2324
455.90000000000003,427.7662
461.20000000000005,451.73685
433.30000000000007,433.04684
393.6,385.2284
356.8,342.2582
294.9,308.57278
220.39999999999998,221.79121
158.4,150.29588
128.20000000000002,106.46774
135.8,106.262215
162.8,156.27702
217.3,196.50034
279.0,273.96365
325.2,333.75156
368.19999999999993,363.88663
430.19999999999993,401.36987
445.1,467.73026
410.99999999999994,439.85422
368.9,392.34976
351.0,355.23737
333.5,358.6692
318.09999999999997,334.49988
304.59999999999997,326.4766
313.7999999999999,310.16296
344.6,333.20645
374.59999999999997,363.79263
387.79999999999995,382.177
392.0,380.3265
366.2999999999999,379.42654
323.9999999999999,328.97888
275.2,282.9669
238.90000000000003,228.14282
196.9,208.91664
161.8,160.72386
160.70000000000002,141.348
191.3,175.08578
237.90000000000003,228.01186
294.8,283.9907
348.5,344.12866
400.8,386.1791
432.5999999999999,430.4252
389.5,438.03757
337.5,349.29126
320.40000000000003,316.46985
309.3,321.5499
288.0999999999999,309.89615
281.2,285.25827
293.5999999999999,291.70966
325.2,308.67245
377.09999999999997,344.5204
407.9,398.00992
442.0999999999999,404.61014
445.1,446.78818
427.09999999999997,418.475
401.9,399.1859
360.59999999999997,370.1604
308.09999999999997,320.39636
270.2,264.0452
269.4,245.29996
282.4,273.40942
317.09999999999997,287.9334
364.5,339.72852
409.9,386.42908
413.3,426.63025
407.5999999999999,399.2052
385.6,401.4884
351.1,363.3424
321.29999999999995,329.52792
277.8,306.93253
217.1,250.17458
204.70000000000002,184.71324
212.5,220.04712
257.79999999999995,225.0292
314.90000000000003,313.74857
368.69999999999993,361.03348
412.6999999999999,406.01605
448.09999999999997,430.0243
456.3,458.4815
425.90000000000003,447.16385
388.29999999999995,398.5488
350.0,367.81848
306.7,329.6726
282.3,285.77734
269.9,282.26532
275.6,272.44186
313.09999999999997,290.5245
337.5,341.12234
349.3,343.936
361.20000000000005,352.35898
375.0,361.94022
334.1,375.74417
247.6999999999999,289.72482
177.0999999999999,182.13406
141.9,136.90974
119.49999999999999,130.31479
118.6,123.144844
150.0,143.05995
205.99999999999997,199.24945
264.40000000000003,265.93176
315.7999999999999,318.42084
343.1,358.72195
381.90000000000003,360.05112
396.1,407.628
376.40000000000003,391.05566
348.0999999999999,360.49176
314.59999999999997,333.0095
294.09999999999997,298.595
289.9,293.8472
287.6999999999999,296.98984
309.59999999999997,291.01642
314.5,326.55582
316.90000000000003,304.34924
312.59999999999997,310.92868
288.6,293.30667
238.29999999999998,256.11777
173.9,187.13231
88.0,120.02211
32.7,23.305042
-12.4,13.35458
-4.500000000000001,-21.571445
-5.6,44.371918
62.199999999999996,20.301498
70.6,157.75533
139.7,81.03833
226.09999999999997,232.2897
297.69999999999993,294.24457
336.5,352.43134
338.5,350.23135
325.6,329.98047
302.9,313.90823
290.7,293.71466
278.8,296.54932
258.40000000000003,282.0058
243.1,257.1995
242.0,244.13022
257.2,244.8646
256.29999999999995,260.61902
229.0,237.72772
134.8,191.48819
13.400000000000002,48.06459
-57.899999999999906,-65.471886
-104.0,-93.626884
-127.0,-132.44997
-175.0,-125.047455
-165.6,-193.39906
-125.2,-112.28319
-61.1,-65.25009
-3.4999999999999,25.34919
55.6999999999999,63.036617
130.20000000000002,123.410416
217.90000000000003,200.94498
277.7,275.51804
286.4,308.56216
253.6,283.1062
234.19999999999996,226.53172
247.5,223.7111
247.7999999999999,262.86832
250.3,251.86514
269.7,259.48608
277.9,277.25616
265.3999999999999,266.17337
243.50000000000003,236.59363
204.8,204.90457
151.29999999999998,147.76102
82.0999999999999,84.8844
-3.9000000000000004,5.205893
-77.7,-84.37437
-107.69999999999989,-136.3618
-111.0,-123.06991
-91.1,-104.89025
-37.400000000000006,-59.463566
38.1,33.85933
112.30000000000001,117.373665
184.0,180.262
238.99999999999997,245.16443
