Actual (mm),Predicted (mm)
43.199999999999896,53.640392
312.90000000000003,317.0475
501.2999999999999,490.7761
573.3,566.0726
541.6000000000001,533.40594
398.59999999999997,416.06345
243.69999999999987,237.10716
106.0,121.8918
83.9999999999999,90.696526
186.0,176.96387
351.2,347.4682
570.6999999999999,544.05286
763.8000000000002,766.20276
910.4,890.7217
927.5,891.1145
760.5000000000001,744.9859
423.7999999999999,423.81012
-6.900000000000002,-11.378829
-399.3,-433.24884
-718.7,-756.4688
-890.9,-887.3597
-930.0,-900.61633
-788.6,-811.6383
-535.7,-546.2637
-224.6,-228.23318
97.0999999999999,95.55314
367.09999999999997,384.54562
565.8,555.16907
623.1999999999999,624.96655
554.1,560.14404
365.9,386.11633
142.7,147.39851
-21.8,-20.466663
-38.3,-44.35042
83.4999999999999,79.967026
267.6,284.9649
525.6,492.1655
744.1,752.21704
925.4999999999999,910.7347
953.6,930.06
780.8,776.5911
440.3,421.74234
2.4999999999999014,-31.463963
-398.20000000000005,-440.82263
-697.3000000000001,-752.8702
-866.5,-858.19086
-852.1000000000001,-862.5941
-671.7,-724.7012
-381.9000000000001,-420.3125
-52.2,-70.38415
265.90000000000003,265.5302
539.8,530.4921
696.3000000000001,685.7467
705.5,710.41626
546.3,593.9989
291.2,329.4761
21.2,17.445757
-131.8,-159.37062
-119.6,-128.53047
31.6,44.03222
272.1,271.7459
531.9000000000001,521.8675
776.9999999999999,780.27
942.6,931.5065
951.0,924.06604
759.6999999999999,739.3814
383.90000000000003,362.41757
-76.0,-105.83642
-455.1,-498.62933
-735.0,-758.5648
-842.2,-828.9285
-775.0,-789.29443
-542.9999999999999,-587.3763
-214.99999999999997,-258.46143
108.5,105.90751
424.5,421.23352
659.9000000000001,650.9625
749.6,749.8904
656.3,695.20245
412.6999999999999,476.24826
76.8,128.4286
-201.4,-202.29808
-315.8999999999999,-315.34253
-275.6,-242.76593
-76.0,-55.270073
200.4999999999999,195.03079
486.0,469.7702
726.4999999999999,741.77136
880.4999999999999,893.9169
871.8000000000001,870.0397
657.0,648.9662
253.00000000000003,224.19167
-179.79999999999995,-260.21014
-534.9999999999999,-567.86224
-736.6,-736.7897
-785.5000000000002,-751.3905
-642.9,-645.2315
-369.5999999999999,-398.8326
-38.2,-54.710793
290.4,299.45554
571.8,583.8485
747.9000000000001,742.49963
744.6,762.1568
553.6999999999999,612.9415
211.3999999999999,285.6596
-146.7999999999999,-141.33252
-384.09999999999997,-404.54898
-432.1,-451.4051
-343.50000000000006,-326.8791
-95.5999999999999,-105.310524
195.8,179.89777
470.3,470.38455
706.0000000000001,711.3879
831.5999999999999,834.7077
773.8,783.76935
522.9,521.2761
122.7,75.86346
-279.1,-347.98605
-551.3000000000001,-581.015
-682.0999999999999,-675.9344
-630.6,-616.8558
-420.69999999999993,-424.28632
-106.6,-144.28854
222.1,203.93951
502.5999999999999,523.9557
723.5,724.3805
795.6999999999999,799.4182
674.4,711.95825
375.40000000000003,434.2951
-22.3999999999999,-1.1746899
-344.5,-377.85327
-513.9,-530.5269
-514.9,-525.11346
-351.69999999999993,-364.29163
-79.8,-108.701485
220.6999999999999,191.28214
490.09999999999997,481.90808
700.5,695.3028
790.3000000000001,776.0491
678.0999999999999,690.25946
387.2,392.02127
-2.000000000000002,-48.205894
-332.5,-400.2842
-522.9,-573.1776
-546.6,-586.37115
-416.6,-423.30756
-153.2,-176.69919
151.4,128.82439
453.59999999999985,441.7018
705.5,697.431
848.8999999999999,834.63934
801.7,827.1469
554.5,615.8917
175.9,198.41884
-218.29999999999998,-246.28065
-487.69999999999993,-501.0721
-595.4,-598.9951
-543.8,-533.314
-334.5,-346.51132
-50.3,-78.98891
238.0,219.94487
482.5,486.35504
655.1,651.2872
690.1999999999999,681.69403
549.9,549.4417
277.0,248.63338
-58.6,-118.1643
-291.5999999999999,-392.598
-390.0,-461.1872
-331.4,-368.32712
-137.1,-153.62709
138.5,119.89065
423.20000000000005,412.90305
679.8,674.9939
860.2,844.24414
888.5,887.9486
712.3000000000001,752.21344
394.2,397.28735
-24.399999999999896,-44.727104
-353.1000000000001,-385.72827
-553.2,-556.7231
-600.0,-588.78345
-485.50000000000006,-470.76938
-274.5,-265.03207
-3.4999999999999973,-11.904767
248.40000000000003,256.20013
460.9,470.25534
597.0999999999999,582.2373
581.0000000000001,585.7477
410.1000000000001,436.90845
166.6,141.7115
-121.20000000000002,-149.21971
-258.40000000000003,-333.69702
-268.6,-304.46228
-146.1,-153.40724
83.4,79.87851
344.9,348.0929
595.7,605.0603
789.7,797.71387
883.5000000000001,876.7389
787.4999999999999,809.7499
519.2,538.90375
140.7999999999999,111.775085
-245.10000000000002,-273.42075
-501.2999999999999,-514.55023
-651.8000000000001,-621.96515
-650.7,-595.135
-498.2999999999999,-476.86514
-263.79999999999995,-271.91565
-6.799999999999998,-5.4867477
247.20000000000002,241.07515
420.4,440.2486
532.1,508.8405
492.59999999999997,497.26553
317.7999999999999,353.402
118.20000000000002,91.21811
-73.6,-117.33546
