Actual (mm),Predicted (mm)
-305.4,-215.68991
-389.79999999999995,-338.783
-411.2,-373.34317
-371.09999999999997,-336.54755
-273.1,-254.2763
-175.4,-137.89836
-91.0,-38.080288
-7.6,15.114385
43.6,33.639023
54.199999999999996,49.43381
67.9,69.78184
87.7,105.063324
124.4999999999999,146.62447
178.7,202.97609
276.7,302.04163
394.9,424.97433
508.6000000000001,536.2514
580.1999999999999,641.8346
622.9,699.8188
601.9,681.6428
549.4,581.65906
425.8,422.01556
254.7,240.18639
78.60000000000001,79.4157
-112.9,-65.306114
-270.9,-208.37897
-384.6000000000001,-326.07236
-435.90000000000003,-390.21652
-432.59999999999997,-393.82623
-384.0,-345.38303
-305.59999999999997,-266.8174
-202.3,-181.6143
-103.6,-86.95031
-22.4,-0.24800663
54.9,61.12481
126.0,110.36322
167.99999999999991,171.29512
202.1,226.25052
248.09999999999997,277.1633
319.29999999999995,333.28326
383.7,394.8257
444.2,449.86386
498.2,504.5534
536.6,553.1464
545.7,567.9607
518.0,520.79877
431.7,401.51794
312.40000000000003,253.52777
143.1,132.883
-63.2,-14.164781
-249.0,-197.48323
-396.8,-361.42444
-498.7,-463.83432
-515.3000000000001,-500.59244
-474.6,-460.6475
-375.59999999999997,-361.22855
-235.5,-234.68906
-83.2,-86.464516
60.099999999999994,62.32134
169.70000000000002,174.99347
250.50000000000003,239.67314
288.5,286.47168
297.9,306.2934
295.0,312.5958
293.9,319.34033
310.90000000000003,325.6885
351.8,339.47882
394.5,374.3588
463.80000000000007,428.07288
518.2,495.78223
533.5,516.36005
482.4,438.4272
368.00000000000006,320.34024
184.00000000000003,186.81717
-35.699999999999896,-12.187231
-288.2,-241.4773
-477.0999999999999,-455.5561
-600.9,-586.043
-635.9,-616.0502
-560.1,-546.5542
-428.4,-411.02405
-228.60000000000002,-225.61557
-10.5,-7.947483
169.3,192.6826
285.8,319.61108
344.9,363.9835
335.59999999999997,354.7241
271.3,304.5325
210.19999999999996,230.2801
158.4,182.37411
182.5,168.99992
233.6,209.16086
334.30000000000007,276.30783
489.5999999999999,378.81903
599.4,515.79016
652.9000000000001,620.34015
606.1999999999999,564.13184
469.9,408.83438
230.29999999999998,214.05307
-69.3,-50.775925
-348.4,-349.90756
-580.1,-582.5193
-712.9,-693.0231
-712.4000000000001,-688.2526
-594.0999999999999,-594.9537
-384.0,-400.90143
-95.9,-139.57538
155.4,139.2495
351.5,361.69043
443.4000000000001,471.10583
436.80000000000007,462.19205
331.40000000000003,373.90933
195.5,227.92616
62.300000000000004,82.07757
0.0,-2.455292
10.4999999999999,5.720462
129.3,97.21405
317.2,255.18808
522.5,425.48575
696.6999999999999,575.65564
769.4,701.6144
713.3000000000002,630.5753
507.0,447.9628
195.3,202.81522
-150.0,-126.023636
-483.3999999999999,-461.28
-727.5000000000001,-688.17194
-807.0999999999999,-782.4157
-741.0999999999999,-771.0837
-521.6,-592.5095
-210.4,-272.38617
117.20000000000002,72.76896
388.6,382.97534
526.0,569.43475
537.6,593.7058
417.9,469.02377
222.39999999999998,264.12866
10.400000000000002,24.19715
-155.29999999999998,-150.26106
-207.0,-224.04462
-115.3,-162.78879
