Actual (mm),Predicted (mm)
1297.8,1296.8657
769.9,754.9215
121.1,96.80201
-537.2,-553.7346
-931.9,-1043.8881
-1008.4,-997.4113
-666.2,-667.1415
-144.4,-159.2717
482.9,474.93933
1135.5,1099.784
1598.7,1530.2953
1713.5000000000002,1696.2452
1468.5,1459.9553
996.9,983.2721
375.3,370.32486
-308.90000000000003,-339.9303
-852.0,-914.56335
-1091.3,-1129.7896
-894.6999999999999,-890.7597
-422.7999999999999,-452.09552
168.6,159.60085
844.6999999999999,806.1459
1441.1000000000001,1375.2887
1702.2,1681.3998
1565.3999999999999,1594.1761
1130.1000000000001,1188.1956
553.5,545.04877
-130.4,-174.56549
-778.1,-798.5323
-1171.5,-1206.7137
-1121.0,-1133.5186
-666.8000000000001,-708.83417
-92.3,-100.39461
575.7,571.4959
1230.6,1201.4869
1611.9,1590.1631
1676.1,1635.7212
1375.3,1350.6223
829.3,832.2277
212.9,157.20674
-448.5,-496.8297
-926.6999999999999,-999.13965
-991.6,-1075.735
-655.8,-683.5222
-123.30000000000003,-150.48308
532.2999999999998,510.7335
1216.5,1163.0651
1727.9,1633.0697
1891.1,1830.3636
1610.0,1605.4353
1139.1,1110.2646
508.69999999999993,469.47345
-212.2,-236.34242
-781.8,-867.3455
-1128.9,-1131.1469
-947.8,-994.96075
-455.9999999999999,-528.30707
135.6,123.06379
762.8000000000001,795.8596
1320.2,1334.4258
1642.6,1603.0161
1544.0,1559.2966
1122.6,1196.4424
585.0,566.127
-69.3999999999999,-127.56497
-655.9000000000001,-718.64075
-1013.8000000000001,-1052.2849
-937.6,-948.4898
-505.40000000000015,-535.6175
56.800000000000004,57.370167
706.4,694.65485
1330.0,1293.4801
1665.4,1672.2954
1663.8999999999999,1666.0198
1283.8,1340.374
736.1,743.6887
34.1,45.3274
-661.5,-679.6477
-1135.3,-1217.2076
-1256.3999999999999,-1258.5015
-895.5999999999999,-932.18506
-399.2,-374.068
225.39999999999998,249.7851
898.7,896.80835
1375.3,1379.321
1537.0999999999997,1527.0292
1337.2,1336.9456
888.8999999999999,892.35974
304.90000000000003,285.48816
-321.0,-378.46945
-795.5,-891.7012
-954.6,-1006.0669
-667.3,-692.4778
-149.9,-192.21262
487.0,464.55838
1144.9,1122.8496
1632.9,1613.5503
1870.5,1809.9497
1647.6,1627.6853
1167.4,1183.8531
548.9,526.93176
-164.39999999999998,-186.55222
-799.2,-847.47784
-1114.7,-1235.4362
-1023.6000000000001,-1054.3696
-638.0,-630.2734
-110.0,-98.56826
520.2,518.0669
1119.8999999999999,1101.4042
1447.7,1440.2643
1457.1000000000001,1441.3982
1135.8,1164.3656
608.1999999999999,633.4861
43.4,-47.16991
-535.2,-579.0782
-910.2,-948.1552
-892.2000000000002,-897.23047
-523.8000000000001,-526.3956
49.099999999999994,5.5696774
633.0,652.70465
1236.3,1223.7314
1614.6999999999998,1609.9786
1626.8,1659.0841
1301.1999999999998,1351.4722
769.9,794.6219
123.2,117.78482
-544.3,-582.6
-1064.3,-1107.507
-1244.0,-1248.5797
-1003.1000000000001,-988.11456
-535.2,-531.05457
3.7999999999999026,42.73194
630.8000000000001,631.2471
1114.8,1148.6155
1340.3,1330.8967
1208.1,1213.4452
809.5000000000001,846.7094
321.79999999999995,276.28992
-263.8,-292.88733
-741.3000000000001,-786.3662
-929.0,-964.44586
-733.5,-725.3769
-235.2,-294.00766
329.40000000000003,343.33078
908.1,950.0868
1414.1999999999998,1399.7319
1606.1000000000001,1656.4907
1481.0,1478.5923
1050.6,1086.678
448.2,487.3382
-189.70000000000005,-233.95511
-820.2,-841.1605
-1220.0,-1249.4062
-1218.6,-1220.3306
-871.7,-881.4375
-403.5,-376.34805
177.3,192.12527
740.7,781.4013
1117.2,1147.5392
1185.1,1190.5797
965.9,969.23315
558.6999999999999,550.7876
34.4999999999999,17.129236
-486.70000000000005,-509.21545
-873.4,-877.4405
-911.6999999999999,-902.11053
-564.8,-581.8007
-95.5999999999999,-81.41625
443.9999999999999,478.6309
1005.7,1019.06586
1382.7,1407.9479
1476.0,1507.1764
1236.9,1273.8337
749.3000000000001,803.1427
148.7,182.69763
-469.7,-520.848
-1012.4000000000001,-1037.6699
-1233.3,-1275.8032
-1136.3000000000002,-1066.2657
-749.1,-739.4253
-275.1,-244.12395
270.30000000000007,307.14737
745.6,806.292
1024.6,1054.4668
1013.5000000000001,993.4102
723.4000000000001,772.9124
303.7999999999999,311.69534
-200.2,-208.44498
-669.2,-668.825
-903.9000000000001,-921.1879
-769.5999999999999,-793.0715
-432.0,-395.59903
48.7999999999999,82.55283
551.2,598.953
1046.6000000000001,1054.5294
1354.2999999999997,1355.7346
1327.1000000000001,1363.2721
1019.8000000000001,1075.6807
525.2,562.44464
-25.100000000000012,-54.985355
-601.4999999999998,-635.8792
-1033.7,-1062.7529
-1197.1000000000004,-1159.0018
-975.9,-978.27814
-606.9,-580.4891
