Actual (mm),Predicted (mm)
-403.8999999999999,-421.5912
-599.7,-485.68384
-544.9,-511.88315
-202.9,-175.07645
265.79999999999995,255.0495
710.8,626.248
1007.4999999999999,917.04724
1153.8,1125.8253
1099.1,1158.7408
805.1999999999998,869.47266
372.2,370.95355
-70.3,33.620007
-394.4999999999999,-362.66232
-681.1999999999999,-549.45026
-832.8000000000001,-673.0708
-656.1,-568.13324
-148.1,-161.10635
369.19999999999993,370.67728
749.8000000000001,695.3462
937.7999999999998,897.1184
989.2999999999997,995.5613
844.5,907.15393
510.5000000000001,492.64017
84.1,138.59013
-244.5999999999999,-242.11082
-514.9,-444.4373
-695.3000000000002,-566.66907
-591.4,-535.77313
-153.79999999999998,-179.05788
346.0,337.99402
757.3000000000001,679.1616
968.7,926.5564
1084.0,1044.2289
995.7,1067.4943
663.1,716.77295
209.7,253.03813
-206.5999999999999,-126.70546
-517.0,-475.21716
-747.0000000000002,-632.8251
-768.5000000000002,-639.80853
-394.4,-406.1007
138.5,165.6747
642.8000000000001,543.8664
944.3000000000001,867.2984
1119.2,1039.4807
1158.5,1141.2031
994.0,1004.40094
607.4,595.45825
186.70000000000002,199.1221
-138.9,-115.373924
-374.90000000000003,-334.51117
-520.6999999999999,-411.20868
-363.8,-364.1699
81.8,58.64717
572.1999999999999,509.1852
943.8999999999999,853.847
1146.5,1087.0928
1205.1000000000001,1189.9894
1080.8999999999999,1073.8794
740.8000000000001,709.3074
335.7,310.62845
-33.00000000000001,40.91302
-337.9999999999999,-263.7203
-565.0999999999999,-453.19156
-531.9000000000001,-491.34888
-114.19999999999999,-176.92308
405.8999999999999,392.3447
846.8999999999999,742.2084
1115.6,1022.9173
1267.7999999999997,1186.07
1259.5,1197.6205
981.5,982.7227
554.9999999999999,515.9796
160.9999999999999,199.72498
-135.7,-100.26101
-375.7,-292.40146
-479.0,-385.33228
-260.2,-266.6399
148.2,183.76216
561.5,528.57465
876.7,814.9377
1080.1000000000001,1032.6078
1144.5,1172.6294
967.8,1082.2311
593.0999999999999,637.58167
145.5,230.29727
-209.1,-154.13666
-483.79999999999995,-417.51547
-610.6,-545.3405
-434.7,-407.45654
-11.399999999999903,23.419727
451.29999999999995,427.92892
827.3,756.4319
1059.1999999999998,995.56165
1183.3,1155.1266
1128.9,1147.7888
810.0,870.7971
389.1,373.72485
11.5,74.046036
-288.5,-233.70471
-515.1,-424.7484
-559.3000000000001,-473.63446
-283.5999999999999,-277.55307
99.10000000000001,184.84937
457.4,454.8479
687.6999999999999,697.7641
845.0999999999999,803.5703
899.9999999999999,937.6651
699.4,886.87274
340.7,408.14136
-61.100000000000016,51.462242
-350.2,-336.78937
-558.9000000000001,-490.01938
-625.6999999999999,-527.0712
-395.4,-377.80978
52.4,57.862885
503.8,460.10477
830.2,767.86957
1035.8,962.51263
1113.2,1121.8975
1010.1000000000001,1061.5013
708.3999999999999,713.2722
310.7,299.00195
-18.800000000000008,9.453924
-272.4,-230.68242
-463.1000000000001,-362.02127
-438.7999999999999,-390.50513
-152.09999999999994,-130.21332
